#{"t_start": 1762470392.042762, "env_id": "None"}
r,l,t
53.6,200,29.411418
54.6,200,29.453551
15.5,200,29.496216
47.4,200,29.537524
50.0,200,29.581618
20.5,200,29.625778
54.6,200,29.667432
43.7,200,29.709766
55.7,200,29.753303
50.5,200,29.795208
25.9,200,29.837809
7.5,200,29.881526
47.7,200,29.924839
53.6,200,29.966995
28.5,200,30.008807
51.4,200,30.049558
47.0,200,30.093414
42.7,200,30.135178
55.1,200,30.177081
25.1,200,30.220251
35.2,200,30.263478
47.5,200,30.305806
53.3,200,30.347034
55.1,200,30.389169
32.8,200,30.434655
45.6,200,30.476263
50.2,200,30.519382
18.8,200,30.562519
53.0,200,30.606503
35.4,200,30.648454
21.4,200,30.691326
50.3,200,30.73375
53.3,200,30.776673
58.9,200,30.818345
35.3,200,30.860371
59.0,200,30.902314
40.9,200,30.94639
56.5,200,30.987556
35.3,200,31.03095
25.7,200,31.072685
13.9,200,31.118818
31.3,200,31.160802
57.0,200,31.201463
37.3,200,31.244619
52.0,200,31.287667
54.4,200,31.329615
30.5,200,31.371703
47.5,200,31.413738
43.1,200,31.458192
54.0,200,31.499196
6.9,200,31.542899
56.8,200,31.58394
57.2,200,31.62682
10.1,200,31.669918
51.9,200,31.711462
50.4,200,31.753676
55.3,200,31.796054
41.8,200,31.837813
29.7,200,31.882169
38.6,200,31.923386
11.8,200,31.968133
11.4,200,32.010646
44.3,200,32.0528
21.0,200,32.09558
47.5,200,32.138131
45.9,200,32.180842
51.5,200,32.222223
51.1,200,32.264571
55.8,200,32.307286
48.0,200,32.348744
28.7,200,32.391596
51.5,200,32.433116
49.5,200,32.477191
21.9,200,32.521234
6.9,200,32.565176
37.2,200,32.610318
35.6,200,32.655548
47.6,200,32.700127
26.1,200,32.744104
27.5,200,32.787587
44.9,200,32.832122
53.5,200,32.874641
21.4,200,32.919887
39.3,200,32.963368
52.2,200,33.008113
58.1,200,33.051555
18.1,200,33.096482
24.9,200,33.141125
23.1,200,33.186444
38.9,200,33.231464
56.0,200,33.273395
16.8,200,33.319036
6.5,200,33.366891
24.5,200,33.409777
19.4,200,33.454294
29.9,200,33.497753
32.5,200,33.545607
59.2,200,33.587515
37.3,200,33.6309
47.4,200,33.672915
46.8,200,33.717188
54.5,200,33.759977
27.1,200,33.803672
52.1,200,33.847116
56.3,200,33.890225
58.7,200,33.932998
47.0,200,33.976776
36.9,200,34.02202
13.6,200,34.068537
42.9,200,34.11146
39.5,200,34.155845
41.8,200,34.198295
52.9,200,34.242168
56.7,200,34.284109
57.2,200,34.32666
37.3,200,34.371424
27.0,200,34.417819
51.5,200,34.462907
56.6,200,34.505943
43.8,200,34.551128
14.7,200,34.598137
44.0,200,34.642617
40.8,200,34.688164
45.8,200,34.732312
28.4,200,34.804467
36.3,200,34.853074
31.8,200,34.89755
29.2,200,34.9428
48.2,200,34.987471
53.4,200,35.030135
35.1,200,35.07496
18.8,200,35.120017
50.9,200,35.164842
35.5,200,35.210123
34.0,200,35.258631
22.8,200,35.30296
58.3,200,35.346921
22.4,200,35.391299
25.3,200,35.434999
57.9,200,35.47811
49.6,200,35.524279
54.2,200,35.567317
21.3,200,35.61326
44.0,200,35.656807
40.3,200,35.704032
17.8,200,35.749148
52.1,200,35.792674
27.3,200,35.83716
55.6,200,35.882302
42.8,200,35.927639
18.1,200,35.972923
38.1,200,36.017091
51.3,200,36.061018
38.4,200,36.105223
50.0,200,36.14928
56.0,200,36.191373
43.7,200,36.238997
41.0,200,36.282532
50.8,200,36.325083
31.7,200,36.371514
36.8,200,36.416923
18.8,200,36.461691
58.2,200,36.505167
22.0,200,36.552415
15.7,200,36.5973
49.7,200,36.640743
49.5,200,36.685686
49.6,200,36.728992
32.4,200,36.775672
39.5,200,36.820859
50.8,200,36.86453
43.7,200,36.908655
50.3,200,36.953212
56.1,200,36.996495
49.7,200,37.039417
15.0,200,37.084931
37.3,200,37.128412
49.7,200,37.1714
17.7,200,37.21737
40.8,200,37.26103
48.3,200,37.305928
43.9,200,37.350427
52.9,200,37.393363
28.0,200,37.436035
48.5,200,37.48136
44.4,200,37.524103
31.9,200,37.567357
41.2,200,37.610875
24.9,200,37.655242
54.4,200,37.699881
33.1,200,37.741536
24.6,200,37.784302
59.9,200,37.827843
47.9,200,37.869798
43.3,200,37.914046
59.1,200,37.954848
19.9,200,38.000265
39.4,200,38.042685
26.8,200,38.08565
21.7,200,38.129108
2.9,200,38.173337
58.4,200,38.216328
57.3,200,38.258005
22.5,200,38.301012
25.3,200,38.345742
26.0,200,38.390515
32.6,200,38.433972
58.3,200,38.476029
31.5,200,38.521587
32.2,200,38.564681
30.7,200,38.606688
36.4,200,38.650994
40.3,200,38.694771
44.7,200,38.738165
48.7,200,38.780997
43.4,200,38.823672
14.8,200,38.870594
19.5,200,38.913256
23.3,200,38.957134
26.9,200,39.000176
22.7,200,39.045532
28.4,200,39.088175
38.2,200,39.130655
18.6,200,39.176498
48.8,200,39.220669
52.9,200,39.263568
49.2,200,39.307548
40.1,200,39.349821
22.8,200,39.395437
56.5,200,39.436235
55.5,200,39.478113
41.3,200,39.520404
24.9,200,39.563657
54.9,200,39.605856
45.3,200,39.648298
56.4,200,39.690261
26.8,200,39.73602
28.7,200,39.77828
54.5,200,39.821373
48.7,200,39.863584
55.7,200,39.907687
52.9,200,39.949816
55.8,200,39.992149
6.8,200,40.035848
20.4,200,40.080956
56.1,200,40.123336
41.0,200,40.166933
18.7,200,40.210714
51.8,200,40.255342
17.7,200,40.297918
39.3,200,40.342348
44.7,200,40.384523
