#{"t_start": 1762470199.700185, "env_id": "None"}
r,l,t
33.8,200,38.791027
43.0,200,38.817905
48.8,200,39.079748
52.9,200,39.108341
58.4,200,39.13545
54.4,200,39.163133
52.8,200,39.191625
41.0,200,39.219708
41.4,200,39.247327
53.3,200,39.274885
58.4,200,39.302946
19.4,200,39.331921
3.0,200,39.617189
47.2,200,39.645595
29.2,200,39.674359
52.4,200,39.701743
57.8,200,39.72988
58.3,200,39.756863
48.7,200,39.784887
23.9,200,39.814063
41.2,200,39.842138
47.9,200,39.869746
33.3,200,40.125244
38.4,200,40.154371
45.6,200,40.182587
43.9,200,40.211279
23.6,200,40.241509
56.2,200,40.268818
50.6,200,40.296549
47.2,200,40.324318
15.5,200,40.355509
52.2,200,40.382819
40.7,200,40.633142
49.8,200,40.662314
57.4,200,40.692472
31.0,200,40.720704
43.7,200,40.748438
39.5,200,40.777382
40.5,200,40.805019
52.4,200,40.832724
26.8,200,40.861753
43.5,200,40.889486
23.4,200,41.139628
30.9,200,41.167495
54.0,200,41.196023
31.7,200,41.22357
34.8,200,41.250598
20.4,200,41.278996
49.5,200,41.306688
38.4,200,41.334339
52.5,200,41.361565
4.0,200,41.39152
52.2,200,41.419093
41.9,200,41.669021
58.0,200,41.696434
48.4,200,41.725543
36.7,200,41.753334
58.5,200,41.780817
12.5,200,41.810866
18.2,200,41.839763
45.6,200,41.867556
50.5,200,41.895128
26.9,200,41.924635
37.3,200,42.176436
45.3,200,42.204936
51.0,200,42.233984
27.2,200,42.263246
47.7,200,42.291584
26.3,200,42.32048
58.3,200,42.349594
59.3,200,42.377284
20.8,200,42.405985
56.0,200,42.433889
45.8,200,42.692687
30.9,200,42.721749
30.4,200,42.75268
57.5,200,42.781021
35.9,200,42.810369
47.3,200,42.838879
45.9,200,42.867923
47.7,200,42.896543
33.6,200,42.924943
35.9,200,42.953086
58.0,200,43.204383
53.4,200,43.231409
42.3,200,43.259695
5.6,200,43.289468
51.3,200,43.317362
25.9,200,43.346331
55.9,200,43.373618
31.7,200,43.403146
35.0,200,43.431134
30.8,200,43.458519
54.1,200,43.48574
33.9,200,43.737029
37.7,200,43.765018
31.5,200,43.792873
14.4,200,43.822313
44.8,200,43.850388
34.5,200,43.878474
34.8,200,43.906544
44.9,200,43.936362
58.2,200,43.963237
42.8,200,43.990866
35.5,200,44.24133
52.0,200,44.268893
47.7,200,44.296406
41.5,200,44.324127
37.9,200,44.353639
54.7,200,44.381107
47.1,200,44.408951
55.9,200,44.437111
52.4,200,44.465111
53.1,200,44.49238
55.9,200,44.741093
58.5,200,44.769697
31.9,200,44.797232
24.0,200,44.825534
28.4,200,44.854497
29.4,200,44.882424
59.0,200,44.909249
45.5,200,44.937176
58.9,200,44.965202
24.3,200,44.993963
51.9,200,45.244282
55.5,200,45.273261
41.5,200,45.303377
41.3,200,45.330902
2.0,200,45.359347
50.8,200,45.38786
40.4,200,45.416556
55.5,200,45.444085
57.9,200,45.470833
1.8,200,45.500128
57.8,200,45.527047
46.0,200,45.777003
53.8,200,45.805505
26.5,200,45.834039
37.3,200,45.861651
26.9,200,45.889856
25.4,200,45.918792
38.3,200,45.946991
42.0,200,45.974716
28.4,200,46.002808
30.4,200,46.031784
31.2,200,46.282551
47.0,200,46.310452
38.4,200,46.339301
26.0,200,46.367918
28.3,200,46.396351
54.8,200,46.423488
56.9,200,46.451909
40.0,200,46.479882
52.7,200,46.507249
28.7,200,46.535809
39.5,200,46.787096
32.5,200,46.815336
50.5,200,46.843044
59.8,200,46.871514
51.3,200,46.899
51.2,200,46.926222
56.0,200,46.953332
37.9,200,46.982262
56.3,200,47.00938
32.5,200,47.037518
58.8,200,47.286079
25.2,200,47.314407
36.0,200,47.342578
58.4,200,47.36989
31.5,200,47.399172
58.4,200,47.426444
18.8,200,47.454246
57.7,200,47.48103
33.5,200,47.509738
55.0,200,47.53737
23.3,200,47.566
40.4,200,47.819059
55.9,200,47.846493
52.8,200,47.873627
43.9,200,47.90151
43.0,200,47.930786
29.3,200,47.95894
58.5,200,47.986333
6.4,200,48.014809
11.9,200,48.06245
48.3,200,48.094226
21.9,200,48.346648
42.7,200,48.375073
36.9,200,48.403265
48.3,200,48.431447
55.5,200,48.460084
48.4,200,48.487723
12.0,200,48.516435
31.4,200,48.545984
54.9,200,48.573169
58.3,200,48.599926
45.0,200,48.85004
9.4,200,48.879599
37.4,200,48.907982
59.3,200,48.935395
53.5,200,48.963012
5.0,200,48.993171
40.5,200,49.021189
34.4,200,49.049102
32.8,200,49.078945
32.9,200,49.106942
58.4,200,49.356738
48.0,200,49.38499
58.3,200,49.413504
58.0,200,49.440961
28.5,200,49.469465
54.9,200,49.497594
22.3,200,49.525891
48.9,200,49.553434
11.0,200,49.583145
56.7,200,49.611396
47.2,200,49.639456
34.9,200,49.889178
54.7,200,49.917772
2.7,200,49.946893
44.3,200,49.974441
28.0,200,50.002329
34.0,200,50.031652
38.9,200,50.059698
51.4,200,50.087074
10.0,200,50.115594
54.8,200,50.144008
53.7,200,50.394823
47.8,200,50.422636
58.4,200,50.450407
21.8,200,50.478606
58.4,200,50.505556
49.5,200,50.533257
30.8,200,50.563141
57.1,200,50.59056
31.5,200,50.618798
51.3,200,50.647584
